법정동,단지명,floor,지번,area,transaction_price,construction_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
홍파동,경희궁자이(2단지),8,199,116.986,"250,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),2,199,116.938,"245,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
무악동,인왕산아이파크,15,60,157.289,"241,000",2008,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11101E+13,17,15
홍파동,경희궁자이(2단지),4,199,101.991,"234,500",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),9,199,84.614,"222,500",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),5,199,84.614,"221,800",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
평동,경희궁자이(3단지),15,233,84.614,"215,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),6,233,84.8359,"209,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
내수동,경희궁의아침4단지,13,73,150.48,"205,000",2004,37.5726327,126.9722416,서울덕수초등학교,489,경복궁역 3호선,374,서서울농협하나로마트 사직점,304,쌍용,1.11101E+13,1,16
내수동,경희궁의아침3단지,3,72,150.48,"200,000",2004,37.573598,126.9720984,서울덕수초등학교,592,경복궁역 3호선,282,서서울농협하나로마트 사직점,223,쌍용,1.11101E+13,1,16
홍파동,경희궁자이(2단지),9,199,84.8359,"199,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
평동,경희궁자이(3단지),16,233,84.836,"197,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
홍파동,경희궁자이(2단지),12,199,84.907,"195,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),2,199,84.614,"189,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
평동,경희궁자이(3단지),7,233,84.614,"189,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
홍파동,경희궁자이(2단지),21,199,84.836,"185,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
평동,경희궁자이(3단지),17,233,84.836,"185,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
사직동,광화문스페이스본(101동~105동),8,9,158.99,"185,000",2008,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11101E+13,5,14
내수동,경희궁의아침4단지,14,73,124.17,"185,000",2004,37.5726327,126.9722416,서울덕수초등학교,489,경복궁역 3호선,374,서서울농협하나로마트 사직점,304,쌍용,1.11101E+13,1,16
평동,경희궁자이(3단지),9,233,84.836,"183,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
내수동,경희궁파크팰리스,7,95,147.62,"181,000",2003,37.574191,126.9705893,서울매동초등학교,497,경복궁역 3호선,327,서서울농협하나로마트 사직점,77,삼성건설,1.11101E+13,3,16
평동,경희궁자이(3단지),6,233,84.836,"180,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
내수동,경희궁의아침3단지,13,72,123.13,"180,000",2004,37.573598,126.9720984,서울덕수초등학교,592,경복궁역 3호선,282,서서울농협하나로마트 사직점,223,쌍용,1.11101E+13,1,16
평동,경희궁자이(3단지),11,233,84.944,"177,500",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
홍파동,경희궁자이(2단지),4,199,84.836,"177,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
내수동,경희궁의아침2단지,4,71,124.17,"177,000",2004,37.5739773,126.9713123,서울매동초등학교,558,경복궁역 3호선,292,서서울농협하나로마트 사직점,141,쌍용,1.11101E+13,1,16
홍파동,경희궁자이(2단지),4,199,84.907,"175,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
내수동,경희궁의아침2단지,4,71,174.55,"175,000",2004,37.5739773,126.9713123,서울매동초등학교,558,경복궁역 3호선,292,서서울농협하나로마트 사직점,141,쌍용,1.11101E+13,1,16
내수동,경희궁파크팰리스,5,95,147.62,"175,000",2003,37.574191,126.9705893,서울매동초등학교,497,경복궁역 3호선,327,서서울농협하나로마트 사직점,77,삼성건설,1.11101E+13,3,16
사직동,광화문스페이스본(101동~105동),7,9,158.99,"173,000",2008,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11101E+13,5,14
홍파동,경희궁자이(2단지),7,199,84.614,"172,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),2,199,84.944,"172,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),2,199,84.944,"172,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),8,199,84.836,"170,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),5,199,59.895,"170,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
사직동,광화문스페이스본(101동~105동),3,9,151.81,"170,000",2008,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11101E+13,5,14
평동,경희궁자이(3단지),6,233,84.836,"165,500",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
내수동,경희궁의아침3단지,7,72,150.48,"165,000",2004,37.573598,126.9720984,서울덕수초등학교,592,경복궁역 3호선,282,서서울농협하나로마트 사직점,223,쌍용,1.11101E+13,1,16
무악동,인왕산아이파크,9,60,114.931,"164,500",2008,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11101E+13,17,15
홍파동,경희궁자이(2단지),19,199,84.907,"162,500",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
사직동,광화문스페이스본(106동),2,09월 01일,163.33,"162,000",2008,37.5735582,126.9677738,서울매동초등학교,449,경복궁역 3호선,579,서서울농협하나로마트 사직점,233,풍림산업,1.11101E+13,1,13
홍파동,경희궁자이(2단지),4,199,84.99,"160,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),5,199,84.934,"160,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),14,199,84.99,"155,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
평동,경희궁자이(3단지),15,233,77.654,"154,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
무악동,경희궁롯데캐슬,1,89,84.8792,"151,000",2019,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11101E+13,4,15
